sample_id,region_group_id,latitude_deg,unsigned_flux_proxy,signed_flux_imbalance,rms_field,field_energy_proxy,gradient_rms,high_gradient_fraction,positive_components,negative_components,strong_component_count,strong_centroid_separation,spectral_centroid,spectral_high_fraction,spectral_potential_proxy
H5011_20150104T195925Z,RG00850,-6.371485,58.924965,0.04257989,189.39507,35870.492,50.887936,0.06549072265625,86.0,61.0,147.0,112.11606028608084,0.045088831339261386,0.10194483,252234.63562440674
H3321_20131031T195925Z,RG00631,-15.321932,56.052742,0.051278118,164.94052,27205.377,46.293713,0.0562744140625,109.0,107.0,216.0,64.05741932038663,0.05079054665826192,0.113997035,123630.7947153207
H3784_20140303T045925Z,RG00702,8.503803,24.924742,0.34064916,79.55083,6328.334,29.059927,0.0189208984375,43.0,76.0,119.0,80.05307888238522,0.07509933754450711,0.20818245,23934.286478075268
H5956_20150917T045924Z,RG00980,-19.887459,27.826378,0.1721445,112.97164,12762.592,35.52192,0.03094482421875,55.0,36.0,91.0,67.35260447955112,0.05754451664296482,0.14722282,60869.99423884476
H377_20110212T185926Z,RG00090,-20.363886,13.337046,0.019215416,74.55075,5557.8145,26.790234,0.017333984375,26.0,23.0,49.0,43.138259897285955,0.07473214389651939,0.20294964,15043.225651359602
H5692_20150624T095925Z,RG00942,12.408711,57.388115,0.102690175,184.35864,33988.11,43.856335,0.0526123046875,80.0,56.0,136.0,97.22348593203914,0.03760790201957993,0.069453225,212378.7471433661
H1997_20120830T035925Z,RG00385,-12.123133,2.4245465,0.055835046,26.884897,722.79767,10.312276,0.0025634765625,5.0,4.0,9.0,29.834575946472782,0.08418837888602416,0.21083659,1353.4986124264926
H3295_20131023T145925Z,RG00626,-12.406488,47.404175,0.035786174,157.23337,24722.33,39.94129,0.04150390625,62.0,83.0,145.0,56.74719780048657,0.04083981366103115,0.08283663,145698.83855650527
H1621_20120506T155926Z,RG00325,-20.801506,31.24638,0.027618602,109.57554,12006.799,31.218634,0.0238037109375,48.0,79.0,127.0,46.92166612381568,0.048967596920345316,0.11319262,64608.36135757362
H8064_20220313T085923Z,RG01455,23.659296,46.48104,0.05684141,139.05782,19337.078,40.07141,0.042724609375,67.0,62.0,129.0,114.26287754656605,0.04809173873208456,0.1055079,133268.1784544822
H5692_20150619T215925Z,RG00942,12.243826,64.37087,0.0060412977,208.74626,43575.004,44.570072,0.05609130859375,87.0,64.0,151.0,84.39895060808095,0.031354206927378545,0.054832753,297801.9327888279
H7770_20211009T045923Z,RG01385,17.144135,26.74791,0.115726985,135.91847,18473.832,32.237667,0.0272216796875,23.0,53.0,76.0,47.95290341163432,0.03883466021103552,0.06679814,89185.14348511383
H1041_20111109T125926Z,RG00231,15.454118,48.08683,0.24466138,129.62592,16802.879,38.07906,0.0372314453125,92.0,135.0,227.0,85.68407694206329,0.05364430216943273,0.13964234,89036.57549951904
H401_20110311T095926Z,RG00095,9.105428,51.729996,0.0011006155,174.39679,30414.242,44.472595,0.05267333984375,44.0,49.0,93.0,63.62051873344108,0.04236936902473771,0.076231256,166760.2614268012
H8043_20220302T165923Z,RG01450,17.381857,15.043888,0.046679802,55.876976,3122.2366,20.550516,0.0098876953125,60.0,43.0,103.0,62.12880648218913,0.07990849881791247,0.2355228,10775.674072410024
H3686_20140202T135925Z,RG00690,-12.213724,107.168076,0.14185707,273.36514,74728.51,73.177574,0.11309814453125,122.0,115.0,237.0,28.933685183194363,0.044304341074570826,0.09231838,369666.59662460594
